,ID,datetime,Acceleration x,Acceleration y,Acceleration z,Linear Acceleration x,Linear Acceleration y,Linear Acceleration z,Gyroscope x,Gyroscope y,Gyroscope z,La,Lo,He,V,D,Ho,VA,Magnetic field x,Magnetic field y,Magnetic field z,Weather,Temperature (Celsius),UV index,Wind (m/s),Humidity (%),hate-enjoy,bored-interested,absorbed,tiring-energizing,depressed-happy,bad-good_physically,sense_accomplishment
49,2.0,2023-06-09 10:56:06.741113,-0.10458943584177753,0.6181002973802019,9.580284132249286,0.163720363639687,-0.04771581400001404,-0.10529902730247755,0.018536349149918793,-0.010190722320487004,-0.07318338685862646,52.398080792657574,4.902534813189345,0.43231448540464046,1.0213535231363728,74.6213886294471,4.796298307413311,4.796298307413311,-16.081286571993687,2.8519137354180364,-41.926244867910256,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
50,2.0,2023-06-09 10:56:16.741113,-0.25674876146977493,0.4138893127441406,9.64915724650468,0.14853077697613742,-0.17788665570016704,-0.10164214968681329,-0.0014973091639320154,-0.02865785932961372,-0.043887083695297785,52.39807764402843,4.902667698008903,1.0018594026565553,0.711579420053381,108.17493848011819,4.84075313815144,4.84075313815144,-13.06343426090656,-9.686866646946067,-37.38731686431583,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
51,2.0,2023-06-09 10:56:26.741113,0.06690492988813043,1.587591161444636,9.393604512733988,0.0662224861720344,-0.1709267734743655,-0.08587745987176892,-0.00478571651969105,-0.00661987766623497,-0.0041762333735823635,52.39805735090819,4.902810460204324,-0.07241793293505908,0.7555506742508477,95.64751741103035,5.069331276175985,5.069331276175985,-12.900137767791747,-13.862908554077148,-29.34727981567383,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
52,2.0,2023-06-09 10:56:36.741113,-0.6640535934448244,0.6277450973510742,9.601074961853028,0.053341389106872396,-0.21540220134163113,-0.08266039140743789,-0.007574163506379222,0.005003525534331209,-0.011942818687103762,52.39802663256985,4.902992202824253,0.4987075513228774,0.8272082745437629,93.09097469200142,5.14577121800386,5.14577121800386,-11.93395212381193,-12.904397492361541,-28.239105791148575,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
53,2.0,2023-06-09 10:56:46.741113,-0.17312315685914295,0.7804740256130105,9.697318480841004,0.04430154173994566,-0.1453475417390392,-0.11013191314026854,-0.010270429500793614,0.01672499974737737,0.02823716938486415,52.39797080976233,4.903139155572493,1.244441436044872,0.8145487003054294,103.67552077499269,5.086182118872616,5.086182118872616,-13.631857296027759,-14.904921427811727,-31.335576199068882,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
54,2.0,2023-06-09 10:56:56.741113,-0.5749143604240796,-0.15249279059986082,9.5398489107944,0.08478318560038611,-0.15156276860716986,-0.14539946960930777,-0.014515087686220902,-0.015900986370547574,-0.022390491780963275,52.39791014359467,4.903286205921229,1.420728513877839,0.7297169807321976,107.992971750206,4.956807040527948,4.956807040527948,-12.684266590836025,-10.300041538653987,-37.665674379556485,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
55,2.0,2023-06-09 10:57:06.741113,-0.37911262134514234,0.901336552081722,9.659917049596805,0.03544043707314413,-0.11172305252188817,-0.051747379052639014,-0.0021687624137848617,-0.0029627180960960686,0.019012898039072752,52.397838177782944,4.903435490274541,2.086535805929452,0.7328459494861496,108.53591790771569,4.89765815269815,4.89765815269815,-12.550117874145508,-14.131199188232422,-36.082408866882325,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
56,2.0,2023-06-09 10:57:16.741113,-0.8921792037963866,0.45336222839355467,9.605863504028319,-0.013903253110457632,-0.13700415234782246,-0.1580248297500138,-0.036266109472749254,0.012160095911804992,0.004922154359519482,52.39772918081277,4.903620563999521,2.7328046306967737,1.215435471997578,122.36279582037461,4.881113380577278,4.881113380577278,-10.601648311803837,-11.631792880520962,-42.47915101759504,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
57,2.0,2023-06-09 10:57:26.741113,-0.6781877211769028,0.6123306123336943,9.61755365957128,0.05916997503636793,-0.1880165016099737,-0.16896953801117318,0.023887464878066342,0.0014919090236878336,0.010665061994280555,52.397630738769315,4.903804596627472,2.4292243528179824,0.7269316428874536,105.98146455524882,4.95630087992326,4.95630087992326,-12.464848546698542,-13.074177052715036,-43.85111145925994,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
58,2.0,2023-06-09 10:57:36.741113,-1.9303872242540419,0.3661445391060102,9.454844984300065,0.0373894424620315,-0.1695862443164212,-0.03842153880265683,-0.010065832908385166,0.008513046742075741,-0.021900902308597422,52.39751752676498,4.903991258830521,3.2820079626515506,0.9519570266035029,97.9105734819333,5.027291187259855,5.027291187259855,-6.477519460243754,-12.751333331117536,-44.31436380065313,Sunny,21.0,5,16.0,63.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0
